Replicate,sample-id,Genotype,Day,Treatment
1,MBSF1,LRV_0_1,D1,Wastewater_Daphnia
2,MBSF2,LRV_0_1,D1,Wastewater_Daphnia
3,MBSF3,LRV_0_1,D1,Wastewater_Daphnia
1,MBSF4,LRV_0_1,D2,Wastewater_Daphnia
2,MBSF5,LRV_0_1,D2,Wastewater_Daphnia
3,MBSF6,LRV_0_1,D2,Wastewater_Daphnia
1,MBSF7,LRV_0_1,D3,Wastewater_Daphnia
2,MBSF8,LRV_0_1,D3,Wastewater_Daphnia
3,MBSF9,LRV_0_1,D3,Wastewater_Daphnia
1,MBSF10,LRV_8.5_3,D1,Wastewater_Daphnia
2,MBSF11,LRV_8.5_3,D1,Wastewater_Daphnia
3,MBSF12,LRV_8.5_3,D1,Wastewater_Daphnia
1,MBSF13,LRV_8.5_3,D2,Wastewater_Daphnia
2,MBSF14,LRV_8.5_3,D2,Wastewater_Daphnia
3,MBSF15,LRV_8.5_3,D2,Wastewater_Daphnia
1,MBSF16,LRV_8.5_3,D3,Wastewater_Daphnia
2,MBSF17,LRV_8.5_3,D3,Wastewater_Daphnia
1,MBSF19,LRV_12_3,D1,Wastewater_Daphnia
2,MBSF20,LRV_12_3,D1,Wastewater_Daphnia
1,MBSF22,LRV_12_3,D2,Wastewater_Daphnia
2,MBSF23,LRV_12_3,D2,Wastewater_Daphnia
3,MBSF24,LRV_12_3,D2,Wastewater_Daphnia
1,MBSF25,LRV_12_3,D3,Wastewater_Daphnia
2,MBSF26,LRV_12_3,D3,Wastewater_Daphnia
1,MBSF28,LR2_36_1,D1,Wastewater_Daphnia
3,MBSF30,LR2_36_1,D1,Wastewater_Daphnia
1,MBSF31,LR2_36_1,D2,Wastewater_Daphnia
2,MBSF32,LR2_36_1,D2,Wastewater_Daphnia
1,MBC1S,LRV_0_1,D1,Control_Daphnia
2,MBC2S,LRV_0_1,D1,Control_Daphnia
3,MBC3S,LRV_0_1,D1,Control_Daphnia
1,MBC4S,LRV_0_1,D2,Control_Daphnia
2,MBC5S,LRV_0_1,D2,Control_Daphnia
3,MBC6S,LRV_0_1,D2,Control_Daphnia
1,MBC7S,LRV_0_1,D3,Control_Daphnia
2,MBC8S,LRV_0_1,D3,Control_Daphnia
3,MBC9S,LRV_0_1,D3,Control_Daphnia
1,MBC10S,LRV_8.5_3,D1,Control_Daphnia
2,MBC11S,LRV_8.5_3,D1,Control_Daphnia
1,MBC13S,LRV_8.5_3,D2,Control_Daphnia
2,MBC14S,LRV_8.5_3,D2,Control_Daphnia
3,MBC15S,LRV_8.5_3,D2,Control_Daphnia
1,MBC16S,LRV_8.5_3,D3,Control_Daphnia
2,MBC17S,LRV_8.5_3,D3,Control_Daphnia
1,MBC19S,LRV_12_3,D1,Control_Daphnia
2,MBC20S,LRV_12_3,D1,Control_Daphnia
3,MBC21S,LRV_12_3,D1,Control_Daphnia
1,MBC22S,LRV_12_3,D2,Control_Daphnia
2,MBC23S,LRV_12_3,D2,Control_Daphnia
3,MBC24S,LRV_12_3,D2,Control_Daphnia
2,MBC26S,LRV_12_3,D3,Control_Daphnia
3,MBC27S,LRV_12_3,D3,Control_Daphnia
1,MBC28S,LR2_36_1,D1,Control_Daphnia
2,MBC29S,LR2_36_1,D1,Control_Daphnia
3,MBC30S,LR2_36_1,D1,Control_Daphnia
1,MBC31S,LR2_36_1,D2,Control_Daphnia
2,MBC32S,LR2_36_1,D2,Control_Daphnia
3,MBC33S,LR2_36_1,D2,Control_Daphnia
1,R1D1BW,CONTROL,D1,Wastewater_Control
2,R2D1BW,CONTROL,D1,Wastewater_Control
3,R3D1BW,CONTROL,D1,Wastewater_Control
1,R1D2BW,CONTROL,D2,Wastewater_Control
2,R2D2BW,CONTROL,D2,Wastewater_Control
3,R3D2BW8532,CONTROL,D2,Wastewater_Control
1,R1D3BW,CONTROL,D3,Wastewater_Control
2,R2D3BW,CONTROL,D3,Wastewater_Control
3,R3D3BW,CONTROL,D3,Wastewater_Control
