sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Blank	113108	49390	43.67	49052	46616	41.21	38316	33.88
MBC10S	105148	58103	55.26	57812	54314	51.65	29158	27.73
MBC11S	172369	26831	15.57	26667	25367	14.72	21735	12.61
MBC13S	108644	66704	61.4	66410	63083	58.06	48320	44.48
MBC14S	128278	61089	47.62	60584	55721	43.44	37988	29.61
MBC15S	164337	123002	74.85	121425	110433	67.2	67908	41.32
MBC16S	82054	53961	65.76	53665	51126	62.31	38697	47.16
MBC17S	91635	47213	51.52	46920	43913	47.92	30930	33.75
MBC19S	82830	57275	69.15	56978	54367	65.64	38942	47.01
MBC1S	105485	37384	35.44	37205	35538	33.69	27124	25.71
MBC20S	102903	61398	59.67	60509	55273	53.71	33776	32.82
MBC21S	97728	68231	69.82	67766	64474	65.97	44482	45.52
MBC22S	95015	69570	73.22	69190	65687	69.13	44423	46.75
MBC23S	79734	35287	44.26	34887	31775	39.85	19612	24.6
MBC24S	86377	54592	63.2	54140	50611	58.59	36904	42.72
MBC26S	81072	55363	68.29	55023	52847	65.19	44453	54.83
MBC27S	92015	55984	60.84	55742	53273	57.9	41959	45.6
MBC28S	142054	34270	24.12	33932	31686	22.31	23730	16.7
MBC29S	92128	56347	61.16	55992	52268	56.73	36689	39.82
MBC2S	93797	42160	44.95	41812	39433	42.04	29936	31.92
MBC30S	104649	43303	41.38	42906	40072	38.29	28699	27.42
MBC31S	120880	73109	60.48	72660	69289	57.32	48436	40.07
MBC32S	108465	63677	58.71	63248	59563	54.91	44644	41.16
MBC33S	103729	56189	54.17	55885	53230	51.32	43419	41.86
MBC3S	156722	31245	19.94	31005	28664	18.29	22629	14.44
MBC4S	94831	41749	44.02	41555	39870	42.04	32510	34.28
MBC5S	101840	48883	48	48531	45561	44.74	35512	34.87
MBC6S	82064	54275	66.14	53938	51416	62.65	38856	47.35
MBC7S	78382	50034	63.83	49753	47367	60.43	37335	47.63
MBC8S	66546	46010	69.14	45716	43715	65.69	32825	49.33
MBC9S	86620	44035	50.84	43746	41821	48.28	33327	38.47
MBSF1	105573	76884	72.83	74441	59721	56.57	26530	25.13
MBSF10	128403	93593	72.89	91461	77146	60.08	33472	26.07
MBSF11	110967	86464	77.92	85164	77321	69.68	44937	40.5
MBSF12	119360	90839	76.11	89589	79560	66.66	45725	38.31
MBSF13	129881	96224	74.09	93678	80978	62.35	39802	30.64
MBSF14	96568	86286	89.35	84711	72497	75.07	37656	38.99
MBSF15	265830	205761	77.4	203690	182166	68.53	105309	39.62
MBSF16	118384	79488	67.14	77737	66584	56.24	33572	28.36
MBSF17	114065	94285	82.66	92401	79130	69.37	42579	37.33
MBSF19	121881	72189	59.23	71078	63399	52.02	40485	33.22
MBSF2	99955	76382	76.42	74882	66814	66.84	32731	32.75
MBSF20	119895	87956	73.36	85916	74006	61.73	34085	28.43
MBSF22	123142	88199	71.62	86830	78549	63.79	43455	35.29
MBSF23	115392	80058	69.38	78702	69353	60.1	40214	34.85
MBSF24	121816	73602	60.42	71279	61153	50.2	40778	33.48
MBSF25	135587	90340	66.63	88182	76089	56.12	46077	33.98
MBSF26	133384	99527	74.62	96881	79008	59.23	36583	27.43
MBSF28	125692	89370	71.1	85652	65138	51.82	30802	24.51
MBSF3	97507	75006	76.92	73386	63913	65.55	31644	32.45
MBSF30	96490	76312	79.09	72804	55639	57.66	24844	25.75
MBSF31	78807	57943	73.53	56295	47834	60.7	22676	28.77
MBSF32	98104	67865	69.18	65484	51720	52.72	27859	28.4
MBSF4	103031	72747	70.61	71265	59907	58.14	31334	30.41
MBSF5	122439	86799	70.89	85287	75099	61.34	41632	34
MBSF6	127287	92782	72.89	91151	77970	61.26	39976	31.41
MBSF7	266548	174409	65.43	171815	149097	55.94	81559	30.6
MBSF8	106935	70116	65.57	68636	57821	54.07	33332	31.17
MBSF9	114611	76606	66.84	74464	60947	53.18	31316	27.32
R1D1BW	127551	90791	71.18	88331	75441	59.15	33779	26.48
R1D2BW	121615	85531	70.33	83544	75295	61.91	40201	33.06
R1D3BW	183459	132094	72	130351	117153	63.86	58720	32.01
R2D1BW	146157	103667	70.93	101374	89315	61.11	42132	28.83
R2D2BW	131924	104000	78.83	102081	89519	67.86	38761	29.38
R2D3BW	370036	286052	77.3	282303	247856	66.98	94331	25.49
R3D1BW	136580	105836	77.49	103984	92241	67.54	45423	33.26
R3D2BW8532	137650	101083	73.43	99748	90856	66.01	58084	42.2
R3D3BW	100255	76764	76.57	75488	65834	65.67	28511	28.44
